contract_id,client_name,industry,monthly_rate,start_date,renewal_date,service_frequency,contract_status
C001,Medical Office A,Healthcare,1850,2024-01-15,2026-01-15,5x/week,Active
C002,Warehouse B,Industrial,2400,2023-08-01,2025-08-01,5x/week,Active
C003,Law Office C,Professional Services,950,2024-05-10,2026-05-10,3x/week,Active
C004,Dental Clinic D,Healthcare,1250,2024-03-01,2026-03-01,5x/week,Active
C005,Office Complex E,Commercial Office,2100,2023-11-20,2025-11-20,5x/week,Active
C006,Retail Store F,Retail,875,2024-07-01,2026-07-01,3x/week,Active
C007,Manufacturing G,Industrial,2750,2023-06-15,2025-06-15,6x/week,Active
C008,Insurance Office H,Professional Services,1100,2024-02-12,2026-02-12,3x/week,Active
C009,Medical Office I,Healthcare,1650,2024-04-01,2026-04-01,5x/week,Active
C010,Distribution Center J,Industrial,3200,2023-09-01,2025-09-01,6x/week,Active
C011,Real Estate Office K,Professional Services,900,2024-06-01,2026-06-01,3x/week,Active
C012,Call Center L,Commercial Office,2300,2023-12-01,2025-12-01,5x/week,Active
C013,Physical Therapy M,Healthcare,1350,2024-01-01,2026-01-01,5x/week,Active
C014,Auto Parts Office N,Industrial,1500,2024-08-01,2026-08-01,4x/week,Active
C015,Accounting Firm O,Professional Services,1050,2024-02-20,2026-02-20,3x/week,Active
C016,Lab Facility P,Healthcare,2250,2023-10-15,2025-10-15,5x/week,Active
C017,Office Suite Q,Commercial Office,800,2024-09-01,2026-09-01,2x/week,Active
C018,Industrial Yard R,Industrial,1950,2024-03-15,2026-03-15,5x/week,Active
C019,Chiropractic Office S,Healthcare,975,2024-07-15,2026-07-15,3x/week,Active
C020,Tech Office T,Commercial Office,1800,2024-05-01,2026-05-01,4x/week,Active
